Time (s),Voltage (V),Current (pA/pF)
1.8047000000000002,-0.08,-3.196432734319929
1.8048000000000002,-0.08,-3.395114110859011
1.8049000000000002,-0.08,-3.2899298526912615
1.8050000000000002,-0.08,-3.570421207805259
1.8051000000000001,-0.08,-3.4886112292303433
1.8052000000000001,-0.08,-3.3366784118769277
1.8053000000000001,-0.08,-3.360052691469761
1.8054000000000001,-0.08,-3.4068012506554273
1.8055,-0.08,-3.5002983690267597
1.8056,-0.08,-3.640544046583758
1.8057,-0.08,-3.523672648619593
1.8058,-0.08,-3.5353597884160095
1.8059,-0.08,-3.7106668853622575
1.806,-0.08,-3.360052691469761
1.8061,-0.08,-3.383426971062594
1.8062,-0.08,-3.734041164955091
1.8063,-0.08,-3.5002983690267597
1.8064,-0.08,-3.511985508823176
1.8065,-0.08,-3.4068012506554273
1.8066,-0.08,-3.7457283047515073
1.8067000000000002,-0.08,-3.5353597884160095
1.8068000000000002,-0.08,-3.3366784118769277
1.8069000000000002,-0.08,-3.46523694963751
1.8070000000000002,-0.08,-3.46523694963751
1.8071000000000002,-0.08,-3.5002983690267597
1.8072000000000001,-0.08,-3.523672648619593
1.8073000000000001,-0.08,-3.7924768639371735
1.8074000000000001,-0.08,-3.734041164955091
1.8075,-0.08,-3.734041164955091
1.8076,-0.08,-3.196432734319929
1.8077,-0.08,-3.6639183261765913
1.8078,-0.08,-3.558734068008842
1.8079,-0.08,-3.3717398312661775
1.808,-0.08,-3.734041164955091
1.8081,-0.08,-3.570421207805259
1.8082,-0.08,-3.6756054659730077
1.8083,-0.08,-3.5353597884160095
1.8084,-0.08,-3.5821083476016753
1.8085,-0.08,-3.547046928212426
1.8086,-0.08,-3.5821083476016753
1.8087000000000002,-0.08,-3.511985508823176
1.8088000000000002,-0.08,-3.558734068008842
1.8089000000000002,-0.08,-3.6054826271945086
1.8090000000000002,-0.08,-3.4184883904518437
1.8091000000000002,-0.08,-3.698979745565841
1.8092000000000001,-0.08,-3.476924089433927
1.8093000000000001,-0.08,-3.6288569067873415
1.8094000000000001,-0.08,-3.523672648619593
1.8095,-0.08,-3.4184883904518437
1.8096,-0.08,-3.523672648619593
1.8097,-0.08,-3.511985508823176
1.8098,-0.08,-3.6288569067873415
1.8099,-0.08,-3.4886112292303433
1.81,-0.08,-3.5002983690267597
1.8101,-0.08,-3.570421207805259
1.8102,-0.08,-3.570421207805259
1.8103,-0.08,-3.511985508823176
1.8104,-0.08,-3.3249912720805113
1.8105,-0.08,-3.547046928212426
1.8106,-0.08,-3.4068012506554273
1.8107,-0.08,-3.46523694963751
1.8108000000000002,-0.08,-3.1613713149306792
1.8109000000000002,-0.08,-3.5821083476016753
1.8110000000000002,-0.08,-3.43017553024826
1.8111000000000002,-0.08,-3.5821083476016753
1.8112000000000001,-0.08,-3.4184883904518437
1.8113000000000001,-0.08,-3.4535498098410935
1.8114000000000001,-0.08,-3.617169766990925
1.8115,-0.08,-3.4068012506554273
1.8116,-0.08,-3.3717398312661775
1.8117,-0.08,-3.4068012506554273
1.8118,-0.08,-3.5821083476016753
1.8119,-0.08,-3.360052691469761
1.812,-0.08,-3.360052691469761
1.8121,-0.08,-3.441862670044677
1.8122,-0.08,-3.4535498098410935
1.8123,-0.08,-3.4886112292303433
1.8124,-0.08,-3.2548684333020117
1.8125,-0.08,-3.5821083476016753
1.8126,-0.08,-3.5002983690267597
1.8127,-0.08,-3.231494153709179
1.8128000000000002,-0.08,-3.3249912720805113
1.8129000000000002,-0.08,-3.5353597884160095
1.8130000000000002,-0.08,-3.6054826271945086
1.8131000000000002,-0.08,-3.360052691469761
1.8132000000000001,-0.08,-3.395114110859011
1.8133000000000001,-0.08,-3.348365551673344
1.8134000000000001,-0.08,-3.5353597884160095
1.8135000000000001,-0.08,-3.313304132284095
1.8136,-0.08,-3.441862670044677
1.8137,-0.08,-3.46523694963751
1.8138,-0.08,-3.383426971062594
1.8139,-0.08,-3.43017553024826
1.814,-0.08,-3.114622755745013
1.8141,-0.08,-3.6288569067873415
1.8142,-0.08,-3.383426971062594
1.8143,-0.08,-3.5002983690267597
1.8144,-0.08,-3.395114110859011
1.8145,-0.08,-3.3717398312661775
1.8146,-0.08,-3.6288569067873415
1.8147,-0.08,-3.301616992487678
1.8148000000000002,-0.08,-3.3717398312661775
1.8149000000000002,-0.08,-3.2899298526912615
1.8150000000000002,-0.08,-3.46523694963751
1.8151000000000002,-0.08,-3.278242712894845
1.8152000000000001,-0.08,-3.196432734319929
1.8153000000000001,-0.08,-3.383426971062594
1.8154000000000001,-0.08,-3.3249912720805113
1.8155000000000001,-0.08,-3.395114110859011
1.8156,-0.08,-3.0912484761521797
1.8157,-0.08,-3.4535498098410935
1.8158,-0.08,-3.3249912720805113
1.8159,-0.08,-3.278242712894845
1.816,-0.08,-2.9743770781880143
1.8161,-0.08,-3.395114110859011
1.8162,-0.08,-3.441862670044677
1.8163,-0.08,-3.137997035337846
1.8164,-0.08,-3.1730584547270957
1.8165,-0.08,-3.102935615948596
1.8166,-0.08,-3.4535498098410935
1.8167,-0.08,-3.102935615948596
1.8168000000000002,-0.08,-3.231494153709179
1.8169000000000002,-0.08,-3.231494153709179
1.8170000000000002,-0.08,-3.2431812935055953
1.8171000000000002,-0.08,-3.301616992487678
1.8172000000000001,-0.08,-3.0561870567629303
1.8173000000000001,-0.08,-3.301616992487678
1.8174000000000001,-0.08,-3.184745594523512
1.8175000000000001,-0.08,-3.313304132284095
1.8176,-0.08,-3.2431812935055953
1.8177,-0.08,-3.196432734319929
1.8178,-0.08,-3.4535498098410935
1.8179,-0.08,-3.4184883904518437
1.818,-0.08,-3.266555573098428
1.8181,-0.08,-3.114622755745013
1.8182,-0.08,-3.4886112292303433
1.8183,-0.08,-3.1263098955414295
1.8184,-0.08,-3.2431812935055953
1.8185,-0.08,-3.0678741965593472
1.8186,-0.08,-3.5353597884160095
1.8187,-0.08,-3.395114110859011
1.8188000000000002,-0.08,-3.0795613363557632
1.8189000000000002,-0.08,-3.219807013912762
1.8190000000000002,-0.08,-3.3717398312661775
1.8191000000000002,-0.08,-3.46523694963751
1.8192000000000002,-0.08,-3.219807013912762
1.8193000000000001,-0.08,-3.2899298526912615
1.8194000000000001,-0.08,-3.1263098955414295
1.8195000000000001,-0.08,-3.278242712894845
1.8196,-0.08,-3.196432734319929
1.8197,-0.08,-3.2081198741163455
1.8198,-0.08,-3.558734068008842
1.8199,-0.08,-3.009438497577264
1.82,-0.08,-3.2548684333020117
1.8201,-0.08,-3.2548684333020117
1.8202,-0.08,-3.4184883904518437
1.8203,-0.08,-3.196432734319929
1.8204,-0.08,-3.0912484761521797
1.8205,-0.08,-3.43017553024826
1.8206,-0.08,-3.231494153709179
1.8207,-0.08,-3.137997035337846
1.8208000000000002,-0.08,-3.044499916966514
1.8209000000000002,-0.08,-3.383426971062594
1.8210000000000002,-0.08,-3.3366784118769277
1.8211000000000002,-0.08,-3.196432734319929
1.8212000000000002,-0.08,-3.3366784118769277
1.8213000000000001,-0.08,-3.266555573098428
1.8214000000000001,-0.08,-3.231494153709179
1.8215000000000001,-0.08,-3.102935615948596
1.8216,-0.08,-3.313304132284095
1.8217,-0.08,-3.2548684333020117
1.8218,-0.08,-3.4068012506554273
1.8219,-0.08,-3.348365551673344
1.822,-0.08,-3.0912484761521797
1.8221,-0.08,-3.46523694963751
1.8222,-0.08,-3.137997035337846
1.8223,-0.08,-3.278242712894845
1.8224,-0.08,-3.184745594523512
1.8225,-0.08,-3.137997035337846
1.8226,-0.08,-3.1613713149306792
1.8227,-0.08,-3.231494153709179
1.8228000000000002,-0.08,-3.231494153709179
1.8229000000000002,-0.08,-3.114622755745013
1.8230000000000002,-0.08,-3.348365551673344
1.8231000000000002,-0.08,-3.231494153709179
1.8232000000000002,-0.08,-3.278242712894845
1.8233000000000001,-0.08,-3.2431812935055953
1.8234000000000001,-0.08,-3.301616992487678
1.8235000000000001,-0.08,-3.2899298526912615
1.8236,-0.08,-3.0678741965593472
1.8237,-0.08,-3.313304132284095
1.8238,-0.08,-3.184745594523512
1.8239,-0.08,-3.2548684333020117
1.824,-0.08,-2.9743770781880143
1.8241,-0.08,-3.4184883904518437
1.8242,-0.08,-3.266555573098428
1.8243,-0.08,-3.0912484761521797
1.8244,-0.08,-3.1263098955414295
1.8245,-0.08,-3.2548684333020117
1.8246,-0.08,-3.0912484761521797
1.8247,-0.08,-3.021125637373681
1.8248,-0.08,-3.3366784118769277
1.8249000000000002,-0.08,-3.021125637373681
1.8250000000000002,-0.08,-3.219807013912762
1.8251000000000002,-0.08,-3.114622755745013
1.8252000000000002,-0.08,-3.196432734319929
1.8253000000000001,-0.08,-3.3249912720805113
1.8254000000000001,-0.08,-2.9743770781880143
1.8255000000000001,-0.08,-3.231494153709179
1.8256000000000001,-0.08,-3.0561870567629303
1.8257,-0.08,-3.0678741965593472
1.8258,-0.08,-2.9743770781880143
1.8259,-0.08,-3.231494153709179
1.826,-0.08,-3.0795613363557632
1.8261,-0.08,-3.2548684333020117
1.8262,-0.08,-3.1613713149306792
1.8263,-0.08,-3.149684175134263
1.8264,-0.08,-2.9743770781880143
1.8265,-0.08,-3.009438497577264
1.8266,-0.08,-3.231494153709179
1.8267,-0.08,-3.137997035337846
1.8268,-0.08,-3.1263098955414295
1.8269000000000002,-0.08,-3.149684175134263
1.8270000000000002,-0.08,-3.266555573098428
1.8271000000000002,-0.08,-3.3249912720805113
1.8272000000000002,-0.08,-3.0328127771700975
1.8273000000000001,-0.08,-3.137997035337846
1.8274000000000001,-0.08,-3.044499916966514
1.8275000000000001,-0.08,-3.219807013912762
1.8276000000000001,-0.08,-2.857505680223849
1.8277,-0.08,-3.1263098955414295
1.8278,-0.08,-3.102935615948596
1.8279,-0.08,-3.021125637373681
1.828,-0.08,-3.0678741965593472
1.8281,-0.08,-3.009438497577264
1.8282,-0.08,-3.2081198741163455
1.8283,-0.08,-3.021125637373681
1.8284,-0.08,-3.021125637373681
1.8285,-0.08,-3.0795613363557632
1.8286,-0.08,-2.9743770781880143
1.8287,-0.08,-3.149684175134263
1.8288,-0.08,-2.939315658798765
1.8289000000000002,-0.08,-3.1263098955414295
1.8290000000000002,-0.08,-2.9977513577808477
1.8291000000000002,-0.08,-3.137997035337846
1.8292000000000002,-0.08,-2.927628519002348
1.8293000000000001,-0.08,-3.114622755745013
1.8294000000000001,-0.08,-2.9743770781880143
1.8295000000000001,-0.08,-3.0561870567629303
1.8296000000000001,-0.08,-3.102935615948596
1.8297,-0.08,-3.0328127771700975
1.8298,-0.08,-3.1263098955414295
1.8299,-0.08,-2.8691928200202654
1.83,-0.08,-3.196432734319929
1.8301,-0.08,-3.009438497577264
1.8302,-0.08,-2.927628519002348
1.8303,-0.08,-3.149684175134263
1.8304,-0.08,-2.9159413792059317
1.8305,-0.08,-3.1613713149306792
1.8306,-0.08,-2.775695701648933
1.8307,-0.08,-3.1730584547270957
1.8308,-0.08,-2.927628519002348
1.8309000000000002,-0.08,-2.8691928200202654
1.8310000000000002,-0.08,-2.8925670996130988
1.8311000000000002,-0.08,-3.009438497577264
1.8312000000000002,-0.08,-3.0912484761521797
1.8313000000000001,-0.08,-2.8107571210381828
1.8314000000000001,-0.08,-3.0678741965593472
1.8315000000000001,-0.08,-3.009438497577264
1.8316000000000001,-0.08,-3.1263098955414295
1.8317,-0.08,-2.822444260834599
1.8318,-0.08,-3.114622755745013
1.8319,-0.08,-3.0678741965593472
1.832,-0.08,-2.939315658798765
1.8321,-0.08,-3.196432734319929
1.8322,-0.08,-2.927628519002348
1.8323,-0.08,-3.0912484761521797
1.8324,-0.08,-2.764008561852516
1.8325,-0.08,-3.1730584547270957
1.8326,-0.08,-2.8107571210381828
1.8327,-0.08,-2.8691928200202654
1.8328,-0.08,-2.764008561852516
1.8329000000000002,-0.08,-2.927628519002348
1.8330000000000002,-0.08,-3.1613713149306792
1.8331000000000002,-0.08,-2.635450024091934
1.8332000000000002,-0.08,-3.0561870567629303
1.8333000000000002,-0.08,-2.9977513577808477
1.8334000000000001,-0.08,-2.9860642179844312
1.8335000000000001,-0.08,-2.904254239409515
1.8336000000000001,-0.08,-3.0561870567629303
1.8337,-0.08,-2.9510027985951814
1.8338,-0.08,-2.8925670996130988
1.8339,-0.08,-3.102935615948596
1.834,-0.08,-2.9977513577808477
1.8341,-0.08,-2.880879959816682
1.8342,-0.08,-2.740634282259683
1.8343,-0.08,-3.2081198741163455
1.8344,-0.08,-2.904254239409515
1.8345,-0.08,-2.8691928200202654
1.8346,-0.08,-2.880879959816682
1.8347,-0.08,-2.8691928200202654
1.8348,-0.08,-3.0678741965593472
1.8349000000000002,-0.08,-2.5536400455170183
1.8350000000000002,-0.08,-3.021125637373681
1.8351000000000002,-0.08,-2.9860642179844312
1.8352000000000002,-0.08,-3.0561870567629303
1.8353000000000002,-0.08,-2.8107571210381828
1.8354000000000001,-0.08,-3.044499916966514
1.8355000000000001,-0.08,-3.0912484761521797
1.8356000000000001,-0.08,-2.9159413792059317
1.8357,-0.08,-2.799069981241766
1.8358,-0.08,-2.71726000266685
1.8359,-0.08,-3.0912484761521797
1.836,-0.08,-2.822444260834599
1.8361,-0.08,-2.7873828414453494
1.8362,-0.08,-2.845818540427432
1.8363,-0.08,-2.9743770781880143
1.8364,-0.08,-3.0328127771700975
1.8365,-0.08,-2.5770143251098516
1.8366,-0.08,-2.9743770781880143
1.8367,-0.08,-2.857505680223849
1.8368,-0.08,-2.9743770781880143
1.8369,-0.08,-2.9510027985951814
1.8370000000000002,-0.08,-2.7873828414453494
1.8371000000000002,-0.08,-3.1613713149306792
1.8372000000000002,-0.08,-3.021125637373681
1.8373000000000002,-0.08,-2.9977513577808477
1.8374000000000001,-0.08,-2.799069981241766
1.8375000000000001,-0.08,-2.9977513577808477
1.8376000000000001,-0.08,-2.775695701648933
1.8377000000000001,-0.08,-2.8925670996130988
1.8378,-0.08,-3.009438497577264
1.8379,-0.08,-2.845818540427432
1.838,-0.08,-3.0795613363557632
1.8381,-0.08,-2.6821985832776
1.8382,-0.08,-2.962689938391598
1.8383,-0.08,-2.939315658798765
1.8384,-0.08,-3.0795613363557632
1.8385,-0.08,-2.880879959816682
1.8386,-0.08,-2.6705114434811836
1.8387,-0.08,-3.0678741965593472
1.8388,-0.08,-2.7873828414453494
1.8389,-0.08,-3.009438497577264
1.8390000000000002,-0.08,-2.7523214220560996
1.8391000000000002,-0.08,-3.0561870567629303
1.8392000000000002,-0.08,-2.927628519002348
1.8393000000000002,-0.08,-2.7523214220560996
1.8394000000000001,-0.08,-2.845818540427432
1.8395000000000001,-0.08,-2.9510027985951814
1.8396000000000001,-0.08,-2.9159413792059317
1.8397000000000001,-0.08,-2.6237628842955174
1.8398,-0.08,-2.9977513577808477
1.8399,-0.08,-2.8341314006310157
1.84,-0.08,-2.904254239409515
1.8401,-0.08,-2.764008561852516
1.8402,-0.08,-2.880879959816682
1.8403,-0.08,-3.114622755745013
1.8404,-0.08,-2.799069981241766
1.8405,-0.08,-2.8925670996130988
1.8406,-0.08,-2.799069981241766
1.8407,-0.08,-2.9977513577808477
1.8408,-0.08,-2.857505680223849
1.8409,-0.08,-2.7289471424632668
1.8410000000000002,-0.08,-2.7523214220560996
1.8411000000000002,-0.08,-2.8925670996130988
1.8412000000000002,-0.08,-3.009438497577264
1.8413000000000002,-0.08,-2.740634282259683
1.8414000000000001,-0.08,-3.009438497577264
1.8415000000000001,-0.08,-2.845818540427432
1.8416000000000001,-0.08,-3.0328127771700975
1.8417000000000001,-0.08,-2.6821985832776
1.8418,-0.08,-2.927628519002348
1.8419,-0.08,-2.9743770781880143
1.842,-0.08,-2.9743770781880143
1.8421,-0.08,-2.764008561852516
1.8422,-0.08,-2.6821985832776
1.8423,-0.08,-3.0561870567629303
1.8424,-0.08,-3.021125637373681
1.8425,-0.08,-2.845818540427432
1.8426,-0.08,-2.8107571210381828
1.8427,-0.08,-3.0561870567629303
1.8428,-0.08,-2.880879959816682
1.8429,-0.08,-2.6237628842955174
1.8430000000000002,-0.08,-2.857505680223849
1.8431000000000002,-0.08,-2.9159413792059317
1.8432000000000002,-0.08,-3.009438497577264
1.8433000000000002,-0.08,-2.5536400455170183
1.8434000000000001,-0.08,-2.880879959816682
1.8435000000000001,-0.08,-2.9510027985951814
1.8436000000000001,-0.08,-2.8925670996130988
1.8437000000000001,-0.08,-2.7523214220560996
1.8438,-0.08,-2.7055728628704334
1.8439,-0.08,-2.9977513577808477
1.844,-0.08,-2.6237628842955174
1.8441,-0.08,-2.880879959816682
1.8442,-0.08,-2.588701464906268
1.8443,-0.08,-2.845818540427432
1.8444,-0.08,-2.71726000266685
1.8445,-0.08,-2.845818540427432
1.8446,-0.08,-2.8341314006310157
1.8447,-0.08,-2.822444260834599
1.8448,-0.08,-2.71726000266685
1.8449,-0.08,-2.6237628842955174
1.8450000000000002,-0.08,-2.7873828414453494
1.8451000000000002,-0.08,-2.799069981241766
1.8452000000000002,-0.08,-2.740634282259683
1.8453000000000002,-0.08,-2.658824303684767
1.8454000000000002,-0.08,-2.8341314006310157
1.8455000000000001,-0.08,-2.8691928200202654
1.8456000000000001,-0.08,-2.845818540427432
1.8457000000000001,-0.08,-2.8107571210381828
1.8458,-0.08,-2.693885723074017
1.8459,-0.08,-2.857505680223849
1.846,-0.08,-2.7523214220560996
1.8461,-0.08,-2.7289471424632668
1.8462,-0.08,-2.8107571210381828
1.8463,-0.08,-2.658824303684767
1.8464,-0.08,-3.0328127771700975
1.8465,-0.08,-2.612075744499101
1.8466,-0.08,-2.822444260834599
1.8467,-0.08,-2.7873828414453494
1.8468,-0.08,-2.845818540427432
1.8469,-0.08,-2.8691928200202654
1.8470000000000002,-0.08,-2.799069981241766
1.8471000000000002,-0.08,-3.0561870567629303
1.8472000000000002,-0.08,-2.857505680223849
1.8473000000000002,-0.08,-2.7873828414453494
1.8474000000000002,-0.08,-2.635450024091934
1.8475000000000001,-0.08,-2.904254239409515
1.8476000000000001,-0.08,-2.775695701648933
1.8477000000000001,-0.08,-2.612075744499101
1.8478,-0.08,-2.9977513577808477
1.8479,-0.08,-2.7289471424632668
1.848,-0.08,-2.9977513577808477
1.8481,-0.08,-2.401707228163603
1.8482,-0.08,-2.845818540427432
1.8483,-0.08,-2.740634282259683
1.8484,-0.08,-2.880879959816682
1.8485,-0.08,-2.658824303684767
1.8486,-0.08,-2.799069981241766
1.8487,-0.08,-2.927628519002348
1.8488,-0.08,-2.460142927145686
1.8489,-0.08,-2.635450024091934
1.8490000000000002,-0.08,-2.635450024091934
1.8491000000000002,-0.08,-2.775695701648933
1.8492000000000002,-0.08,-2.7289471424632668
1.8493000000000002,-0.08,-2.518578626127769
1.8494000000000002,-0.08,-2.612075744499101
1.8495000000000001,-0.08,-2.6471371638883507
1.8496000000000001,-0.08,-2.7523214220560996
1.8497000000000001,-0.08,-2.483517206738519
1.8498,-0.08,-2.693885723074017
1.8499,-0.08,-2.6821985832776
1.85,-0.08,-2.845818540427432
1.8501,-0.08,-2.506891486331352
1.8502,-0.08,-2.658824303684767
1.8503,-0.08,-2.880879959816682
1.8504,-0.08,-2.845818540427432
1.8505,-0.08,-2.6705114434811836
1.8506,-0.08,-2.600388604702685
1.8507,-0.08,-2.9977513577808477
1.8508,-0.08,-2.740634282259683
1.8509,-0.08,-2.7523214220560996
1.851,-0.08,-2.635450024091934
1.8511000000000002,-0.08,-2.857505680223849
1.8512000000000002,-0.08,-2.880879959816682
1.8513000000000002,-0.08,-2.506891486331352
1.8514000000000002,-0.08,-2.71726000266685
1.8515000000000001,-0.08,-2.775695701648933
1.8516000000000001,-0.08,-2.9977513577808477
1.8517000000000001,-0.08,-2.4952043465349356
1.8518000000000001,-0.08,-2.857505680223849
1.8519,-0.08,-3.0328127771700975
1.852,-0.08,-2.939315658798765
1.8521,-0.08,-2.6237628842955174
1.8522,-0.08,-2.483517206738519
1.8523,-0.08,-2.845818540427432
1.8524,-0.08,-2.880879959816682
1.8525,-0.08,-2.7523214220560996
1.8526,-0.08,-2.6705114434811836
1.8527,-0.08,-2.9977513577808477
1.8528,-0.08,-3.009438497577264
1.8529,-0.08,-2.518578626127769
1.853,-0.08,-2.9159413792059317
1.8531000000000002,-0.08,-2.71726000266685
1.8532000000000002,-0.08,-2.845818540427432
1.8533000000000002,-0.08,-2.600388604702685
1.8534000000000002,-0.08,-2.857505680223849
1.8535000000000001,-0.08,-2.822444260834599
1.8536000000000001,-0.08,-2.7289471424632668
1.8537000000000001,-0.08,-2.7289471424632668
1.8538000000000001,-0.08,-2.764008561852516
1.8539,-0.08,-2.845818540427432
1.854,-0.08,-2.4718300669421023
1.8541,-0.08,-2.7289471424632668
1.8542,-0.08,-2.693885723074017
1.8543,-0.08,-2.845818540427432
1.8544,-0.08,-2.857505680223849
1.8545,-0.08,-2.635450024091934
1.8546,-0.08,-2.845818540427432
1.8547,-0.08,-2.5536400455170183
1.8548,-0.08,-2.857505680223849
1.8549,-0.08,-2.7873828414453494
1.855,-0.08,-2.8691928200202654
1.8551000000000002,-0.08,-2.8925670996130988
1.8552000000000002,-0.08,-2.857505680223849
1.8553000000000002,-0.08,-2.71726000266685
1.8554000000000002,-0.08,-2.693885723074017
1.8555000000000001,-0.08,-2.7289471424632668
1.8556000000000001,-0.08,-2.799069981241766
1.8557000000000001,-0.08,-2.764008561852516
1.8558000000000001,-0.08,-2.5302657659241854
1.8559,-0.08,-2.822444260834599
1.856,-0.08,-2.7873828414453494
1.8561,-0.08,-2.5536400455170183
1.8562,-0.08,-2.775695701648933
1.8563,-0.08,-2.6821985832776
